CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,A,E,E,B,D,E,C,A,G,A,B,A,A,B,A,B,G,A,B,C,E,E,A,65.2
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,31,A,B,E,E,A,A,F,D,E,A,A,A,A,A,B,A,B,C,A,A,B,E,A,F,
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,A,A,C,D,B,D,B,E,D,A,A,B,A,D,A,A,B,G,B,B,B,A,C,F,64.3
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,D,D,D,B,B,C,B,A,A,A,B,A,A,B,A,B,C,B,D,E,B,B,A,35.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,A,D,F,B,D,D,B,A,A,A,C,B,A,E,A,B,G,A,B,B,A,A,F,45.4
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,A,D,B,D,B,C,C,E,E,A,A,B,A,D,A,A,B,C,B,B,B,C,E,F,37.2
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,A,D,D,B,C,E,E,E,A,A,C,A,A,B,A,B,A,B,B,B,E,E,A,42.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,A,B,D,D,B,H,B,B,A,A,A,B,A,B,A,B,A,C,A,C,D,C,A,A,40.1
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,A,E,E,B,D,E,A,A,A,E,C,B,A,B,A,B,A,A,B,C,A,E,A,47.5
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,27,E,A,A,D,C,C,C,B,A,A,A,B,A,A,E,A,B,C,A,A,C,E,A,F,28.7
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,A,D,D,B,C,C,C,A,A,E,E,B,A,B,A,C,A,A,A,B,C,B,A,53.4
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,A,A,F,F,B,C,F,B,A,A,A,E,B,A,B,A,B,A,A,C,B,A,E,A,31.0
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,29,A,A,D,D,B,D,E,D,E,A,A,E,A,A,A,A,F,K,A,E,C,A,E,F,62.5
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,A,C,C,B,B,A,C,A,A,A,C,B,C,A,A,C,G,A,B,E,E,A,F,48.5
548,UNIVERSIDADE FEDERAL DO MARANHÃO (UFMA),1,11452,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,30,A,D,C,D,B,F,D,F,E,A,A,A,A,D,A,A,F,G,B,B,B,D,A,F,28.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,40,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,A,D,D,F,B,E,D,C,C,E,A,A,A,D,A,B,B,G,A,C,C,E,C,E,44.4
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,26,A,D,B,B,B,G,B,A,A,C,A,A,A,C,A,A,B,A,A,A,D,E,A,C,27.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,24,A,D,D,D,F,A,A,C,E,E,A,A,A,C,A,A,F,G,A,C,C,E,E,I,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,A,D,B,C,B,H,B,E,E,C,A,A,A,C,A,A,B,J,B,B,B,E,H,A,27.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,,,,,,,,,,,,,,,,,,,,,,,,,29.0
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,A,D,D,E,B,D,B,A,B,G,A,A,A,A,B,A,B,C,A,B,C,E,E,I,31.6
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,27,B,D,D,D,C,E,D,F,E,E,A,A,A,A,A,A,C,K,B,B,E,E,E,I,8.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,,,,,,,,,,,,,,,,,,,,,,,,,12.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,25,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,24,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,37,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,37,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,46.4
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,,,,,,,,,,,,,,,,,,,,,,,,,24.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,28,B,B,D,D,C,B,E,E,D,C,A,A,A,D,A,A,B,C,A,A,A,E,A,A,38.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,26,A,D,B,C,B,H,C,E,E,E,A,A,A,A,A,A,F,G,A,B,C,A,H,D,22.4
